Timestamp, Focus, Enjoyment, Zone
1643578962177,61.465748,60.257694,61.103333
1643578962431,61.244915,59.87403,60.83365
1643578962687,60.96698,59.420765,60.503113
1643578962936,60.69176,58.9688,60.174873
1643578963179,60.42781,58.525814,59.85721
1643578963432,60.196014,58.08837,59.56372
1643578963696,59.96262,57.64821,59.2683
1643578963939,59.657135,57.281506,58.944447
1643578964177,59.357822,56.92065,58.62667
1643578964428,59.068115,56.183365,58.20269
1643578964682,58.78059,55.445858,57.78017
1643578964934,58.64757,54.866116,57.513134
1643578965164,58.528393,54.30425,57.26115
1643578965414,58.398632,53.713665,56.99314
1643578965662,58.312786,53.17682,56.771996
1643578965916,58.23091,52.642677,56.554443
1643578966156,58.141964,52.08892,56.32605
1643578966403,58.056637,51.53839,56.101162
1643578966661,57.94047,51.00723,55.8605
1643578966917,57.829487,50.483723,55.62576
1643578967139,57.727703,49.983704,55.404503
1643578967368,57.579678,49.474346,55.14808
1643578967624,57.429585,48.95109,54.88604
1643578967879,57.296547,48.40929,54.63037
1643578968118,57.170216,47.8848,54.38459
1643578968365,57.049053,47.3545,54.140686
1643578968627,56.971233,46.82968,53.92877
1643578968890,56.92822,46.31911,53.745487
1643578969130,56.985424,46.272972,53.77169
1643578969371,57.04514,46.237957,53.802986
1643578969618,57.126106,46.25556,53.864944
1643578969871,57.208233,46.27795,53.929146
1643578970090,57.284065,46.316963,53.993935
1643578970346,57.359524,46.349827,54.056614
1643578970600,57.434315,46.383743,54.119144
1643578970847,57.583557,46.555485,54.27514
1643578971083,57.7349,46.739563,54.4363
1643578971319,57.879177,46.969913,54.6064
1643578971566,58.024853,47.204475,54.77874
1643578971824,58.120205,47.411415,54.90757
1643578972070,58.216534,47.625595,55.03925
1643578972320,58.315067,47.844803,55.17399
1643578972568,58.302063,47.94395,55.19463
1643578972824,58.28991,48.048008,55.21734
1643578973052,58.258778,48.15369,55.22725
1643578973274,58.227142,48.263138,55.23794
1643578973529,58.181026,48.374554,55.239086
1643578973794,58.19102,48.34433,55.237015
1643578974037,58.21137,48.325405,55.245583
1643578974264,58.169483,48.175175,55.171192
1643578974517,58.13,48.029083,55.099728
1643578974773,57.950317,47.70889,54.877888
1643578975016,57.770203,47.390766,54.656372
1643578975243,57.590214,47.08836,54.43966
1643578975502,57.449036,46.82691,54.262398
1643578975762,57.29963,46.566143,54.079586
1643578975983,57.2358,46.330097,53.96409
1643578976207,57.172775,46.096615,53.84993
1643578976463,57.320553,45.89343,53.892414
1643578976718,57.469135,45.69287,53.936256
1643578976962,57.62791,45.488598,53.98612
1643578977197,57.73957,45.292515,54.005455
1643578977443,57.84934,45.089695,54.021446
1643578977698,57.887287,44.802067,53.96172
1643578977939,57.925556,44.522923,53.904766
1643578978188,57.963806,44.24683,53.848717
1643578978448,57.947144,43.96517,53.752552
1643578978712,57.941628,43.682846,53.663994
